title,brand,price,rating,total reviews,stock,link
"WILSON Blade 98L V6 Adult Performance Tennis Racket - Grip Size 3-4 3/8"", Black/Green",Wilson,236.28,4.3,7,In Stock,https://amazon.ca/Wilson-Blade-98L-Tennis-Racket/dp/B08V8GJ5Y2/ref=sr_1_40?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-40
HEAD Graphene XT Radical S Tennis Racket - Pre-Strung 27 Inch Graphite Racquet,Head,158.43,4.7,195,In Stock,https://amazon.ca/Graphene-Radical-Tennis-Racket-Size/dp/B0182D3IRS/ref=sr_1_41?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-41
Head Graphene Extreme MP Tennis Racquet,Head,169.44,4.6,139,In Stock,https://amazon.ca/Graphene-Extreme-Classic-Tennis-Racquet/dp/B077BTX3DK/ref=sr_1_42?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-42
Head Graphene Touch Speed Adaptive Tennis Racquet,Head,169.95,4.6,8,,https://amazon.ca/HEAD-Graphene-Adaptive-Tennis-Racquet/dp/B01MR544LG/ref=sr_1_43?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-43
Wilson Unisex-Adult Ultra Power 100 Tennis Racket Black/Blue Grip 3,Wilson,129.95,,6,,https://amazon.ca/Wilson-Unisex-Adult-Ultra-Tennis-Racket/dp/B07Z4TVHQ8/ref=sr_1_44?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-44
Head Graphene 360+ Instinct LITE Tennis Racquet - Strung,Head,159.95,4.3,24,In Stock,https://amazon.ca/HEAD-Graphene-Instinct-Racquet-Performance/dp/B08GQ9T48P/ref=sr_1_45?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-45
Head Graphene 360+ Instinct MP Tennis Racquet,Head,169.95,4.7,41,In Stock,https://amazon.ca/HEAD-Graphene-Instinct-Racquet-Performance/dp/B08GQCG8DT/ref=sr_1_46?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-46
Head Graphene XT Speed MP Tennis Racket,Head,160.55,4.7,199,In Stock,https://amazon.ca/HEAD-0726423967187-GRAPHENEXT-Speed-Natural/dp/B00PJ6O2CW/ref=sr_1_47?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-47
Wilson Unisex-Adult PRO Staff Precision 103 Tennis Racket Black/White Grip 3,Wilson,0,4.4,11,,https://amazon.ca/Wilson-Unisex-Adult-Precision-Tennis-Racket/dp/B07Z4SM1V7/ref=sr_1_48?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-48
Head Graphene XT Speed MP Tennis Racket,Head,160.55,4.7,199,In Stock,https://amazon.ca/HEAD-0726423967187-GRAPHENEXT-Speed-Natural/dp/B00PJ6O2CW/ref=sr_1_49?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-49
